u,i,ts,label,weight,idx
2505,666,1289192400.0,0,0.0,24187
1182,3180,1289192400.0,0,0.0,24188
1099,3644,1289192400.0,0,0.0,24189
2606,1444,1289192400.0,0,0.0,24190
1483,845,1289365200.0,0,0.0,24191
421,3741,1289365200.0,0,0.0,24192
2674,1736,1289365200.0,0,0.0,24193
2739,551,1289365200.0,0,0.0,24194
1015,2175,1289365200.0,0,0.0,24195
3634,2029,1289451600.0,0,0.0,24196
2570,2672,1289538000.0,0,0.0,24197
768,445,1289538000.0,0,0.0,24198
3598,1342,1289538000.0,0,0.0,24199
2933,2523,1289538000.0,0,0.0,24200
3719,1420,1289538000.0,0,0.0,24201
1422,1059,1289624400.0,0,0.0,24202
1089,2025,1289624400.0,0,0.0,24203
3115,882,1289710800.0,0,0.0,24204
2829,2075,1289710800.0,0,0.0,24205
152,1217,1289710800.0,0,0.0,24206
3046,441,1289797200.0,0,0.0,24207
1089,679,1289797200.0,0,0.0,24208
1139,1730,1289797200.0,0,0.0,24209
950,1641,1290056400.0,0,0.0,24210
616,848,1290056400.0,0,0.0,24211
929,275,1290142800.0,0,0.0,24212
775,2177,1290142800.0,0,0.0,24213
1026,1410,1290229200.0,0,0.0,24214
225,1467,1290488400.0,0,0.0,24215
1743,2924,1290661200.0,0,0.0,24216
3454,1159,1290661200.0,0,0.0,24217
1144,2008,1290920400.0,0,0.0,24218
3748,938,1291006800.0,0,0.0,24219
3748,2873,1291006800.0,0,0.0,24220
2956,487,1291006800.0,0,0.0,24221
2911,2502,1291093200.0,0,0.0,24222
1090,610,1291093200.0,0,0.0,24223
410,1357,1291179600.0,0,0.0,24224
570,882,1291266000.0,0,0.0,24225
2489,1922,1291438800.0,0,0.0,24226
2138,1996,1291438800.0,0,0.0,24227
1270,3168,1291611600.0,0,0.0,24228
384,1623,1292043600.0,0,0.0,24229
1985,2170,1292043600.0,0,0.0,24230
3566,2985,1292043600.0,0,0.0,24231
624,1844,1292043600.0,0,0.0,24232
138,1286,1292216400.0,0,0.0,24233
2902,865,1292216400.0,0,0.0,24234
2308,1257,1292821200.0,0,0.0,24235
130,213,1292821200.0,0,0.0,24236
483,922,1292821200.0,0,0.0,24237
1111,2693,1292907600.0,0,0.0,24238
1529,1023,1292907600.0,0,0.0,24239
929,2147,1293512400.0,0,0.0,24240
3098,2665,1293598800.0,0,0.0,24241
1681,680,1293598800.0,0,0.0,24242
1417,2299,1293598800.0,0,0.0,24243
1740,3617,1293598800.0,0,0.0,24244
3077,1082,1293685200.0,0,0.0,24245
1694,2185,1293685200.0,0,0.0,24246
2547,178,1293771600.0,0,0.0,24247
546,1766,1293771600.0,0,0.0,24248
2841,278,1293858000.0,0,0.0,24249
792,3756,1293858000.0,0,0.0,24250
1968,1749,1293858000.0,0,0.0,24251
2341,2558,1294030800.0,0,0.0,24252
2568,1272,1294030800.0,0,0.0,24253
2146,3096,1294117200.0,0,0.0,24254
383,412,1294117200.0,0,0.0,24255
2882,424,1294117200.0,0,0.0,24256
1953,958,1294549200.0,0,0.0,24257
2954,3765,1294549200.0,0,0.0,24258
1160,2579,1294722000.0,0,0.0,24259
2481,2572,1294808400.0,0,0.0,24260
1419,1171,1294894800.0,0,0.0,24261
540,390,1294894800.0,0,0.0,24262
3076,571,1294894800.0,0,0.0,24263
300,236,1294894800.0,0,0.0,24264
2224,9,1294981200.0,0,0.0,24265
2916,479,1294981200.0,0,0.0,24266
786,2610,1295154000.0,0,0.0,24267
1352,254,1295154000.0,0,0.0,24268
3168,1940,1295154000.0,0,0.0,24269
2596,1732,1295326800.0,0,0.0,24270
198,1434,1295499600.0,0,0.0,24271
3688,173,1295586000.0,0,0.0,24272
1322,680,1295586000.0,0,0.0,24273
3740,1936,1295672400.0,0,0.0,24274
3012,2688,1295672400.0,0,0.0,24275
2972,182,1296018000.0,0,0.0,24276
313,1739,1296018000.0,0,0.0,24277
2096,282,1296104400.0,0,0.0,24278
133,2118,1296104400.0,0,0.0,24279
1254,2733,1296104400.0,0,0.0,24280
3137,1056,1296104400.0,0,0.0,24281
460,2483,1296277200.0,0,0.0,24282
1621,737,1296277200.0,0,0.0,24283
